trade_id,date,strategy,position_size,pnl,running_balance
1,2026-03-01,calibration,50.0,43.3303,543.3303
7,2026-03-09,calibration,54.333,0.0,543.3303
8,2026-03-09,calibration,54.333,0.0,543.3303
9,2026-03-09,calibration,54.333,0.0,543.3303
10,2026-03-09,calibration,54.333,0.0,543.3303
11,2026-03-09,calibration,54.333,0.0,543.3303
12,2026-03-09,calibration,54.333,0.0,543.3303
13,2026-03-09,calibration,54.333,0.0,543.3303
14,2026-03-09,calibration,54.333,0.0,543.3303
15,2026-03-09,calibration,54.333,0.0,543.3303
16,2026-03-09,calibration,54.333,0.0,543.3303
17,2026-03-09,calibration,54.333,0.0,543.3303
18,2026-03-09,calibration,54.333,0.0,543.3303
19,2026-03-09,calibration,54.333,0.0,543.3303
20,2026-03-09,calibration,54.333,0.0,543.3303
21,2026-03-09,calibration,54.333,0.0,543.3303
22,2026-03-09,calibration,54.333,0.0,543.3303
23,2026-03-09,calibration,54.333,0.0,543.3303
24,2026-03-09,calibration,54.333,0.0,543.3303
25,2026-03-09,calibration,54.333,0.0,543.3303
26,2026-03-09,calibration,54.333,0.0,543.3303
33,2026-03-09,calibration,54.333,0.0,543.3303
34,2026-03-09,calibration,54.333,0.0,543.3303
35,2026-03-09,calibration,54.333,0.0,543.3303
36,2026-03-09,calibration,54.333,0.0,543.3303
38,2026-03-09,calibration,54.333,0.0,543.3303
40,2026-03-09,calibration,54.333,0.0,543.3303
44,2026-03-09,calibration,54.333,0.0,543.3303
46,2026-03-09,calibration,54.333,0.0,543.3303
48,2026-03-09,calibration,54.333,0.0,543.3303
53,2026-03-09,calibration,54.333,0.0,543.3303
54,2026-03-09,calibration,54.333,0.0,543.3303
55,2026-03-09,calibration,54.333,0.0,543.3303
56,2026-03-09,calibration,54.333,0.0,543.3303
57,2026-03-09,calibration,54.333,0.0,543.3303
58,2026-03-09,calibration,54.333,0.0,543.3303
60,2026-03-09,calibration,54.333,0.0,543.3303
64,2026-03-09,calibration,54.333,0.0,543.3303
66,2026-03-09,calibration,54.333,0.0,543.3303
67,2026-03-09,calibration,54.333,0.0,543.3303
68,2026-03-09,calibration,54.333,0.0,543.3303
70,2026-03-09,calibration,54.333,0.0,543.3303
71,2026-03-09,calibration,54.333,0.0,543.3303
72,2026-03-09,calibration,54.333,0.0,543.3303
