month,opportunities,trades_taken,events_filtered_yes_sum,events_filtered_volume,gross_profit_usd_100,net_balance_100,return_pct_100,max_drawdown_pct_100,gross_profit_usd_500,net_balance_500,return_pct_500,max_drawdown_pct_500,best_day,worst_day
2025-05,12,6,4,0,0.3798,100.3798,0.3798,0.0,1.899,501.899,0.3798,0.0,2025-05-17,2025-05-12
2025-06,16,5,25,0,0.1532,100.533,0.1526,0.0498,0.766,502.665,0.1526,0.0498,2025-06-07,2025-06-06
2025-07,61,32,102,0,1.4091,101.9421,1.4016,0.05,7.0455,509.7105,1.4016,0.05,2025-07-08,2025-07-14
2025-08,167,82,408,0,5.7656,107.7077,5.6558,0.0016,28.828,538.5385,5.6558,0.0016,2025-08-27,2025-08-21
2025-09,236,119,791,0,12.9462,120.6539,12.0198,0.0,64.731,603.2695,12.0198,0.0,2025-09-30,2025-09-07
2025-10,613,299,1345,1176,53.829,174.4829,44.6144,0.0,269.145,872.4145,44.6144,0.0,2025-10-19,2025-10-07
2025-11,1238,624,2625,2221,144.6853,319.1682,82.9223,0.0,723.4265,1595.841,82.9223,0.0,2025-11-30,2025-11-05
2025-12,2311,1159,4875,5010,257.5673,576.7355,80.6995,0.0,1287.8365,2883.6775,80.6995,0.0,2025-12-25,2025-12-03
2026-01,1911,948,4198,6321,128.1784,704.9139,22.2248,0.0,640.892,3524.5695,22.2248,0.0,2026-01-01,2026-01-09
2026-02,1526,758,2330,5953,148.1222,853.0361,21.0128,0.0,740.611,4265.1805,21.0128,0.0,2026-02-07,2026-02-28
2026-03,627,303,746,3269,71.0462,924.0823,8.3286,0.0,355.231,4620.4115,8.3286,0.0,2026-03-07,2026-03-12
